                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3479,                0.80399,                 1.0797,                0.92164,                0.88334,                0.91644,                0.59753,                  1.216,                0.99833,                 1.0834,                0.07003,                0.00333,                0.00333
                      1,                 1.2489,                0.59412,                 1.0281,                  0.942,                0.88564,                0.92624,                0.60089,                 1.2298,                0.91255,                 1.0775,               0.039964,              0.0065973,              0.0065973
                      2,                 1.2396,                0.61199,                 1.0264,                0.92345,                0.85627,                0.91554,                0.60648,                 1.1996,                 1.0159,                 1.0808,              0.0098325,              0.0097987,              0.0097987
                      3,                 1.2387,                0.61188,                 1.0291,                0.93335,                0.88712,                0.92988,                0.63223,                 1.1499,                0.82953,                 1.0541,               0.009703,               0.009703,               0.009703
                      4,                  1.187,                0.57588,                  1.012,                0.93899,                0.89611,                0.93521,                0.64169,                 1.1243,                 0.7815,                 1.0434,               0.009703,               0.009703,               0.009703
                      5,                 1.1423,                0.54881,                0.99799,                0.94754,                 0.9015,                0.93751,                 0.6384,                   1.13,                0.70556,                  1.055,               0.009604,               0.009604,               0.009604
                      6,                 1.1044,                0.52408,                0.98245,                0.95437,                0.90966,                0.94859,                0.67074,                 1.0761,                0.71096,                 1.0276,               0.009505,               0.009505,               0.009505
                      7,                 1.0777,                0.50826,                0.97532,                0.95535,                0.91232,                0.94518,                0.67954,                 1.0151,                0.66797,                  1.019,               0.009406,               0.009406,               0.009406
                      8,                 1.0524,                 0.4958,                 0.9672,                0.94601,                0.90948,                0.94415,                0.68333,                  1.032,                0.71689,                 1.0223,               0.009307,               0.009307,               0.009307
                      9,                 1.0322,                 0.4859,                0.96148,                0.95375,                0.91191,                0.94782,                0.69514,                 1.0157,                  0.676,                 1.0207,               0.009208,               0.009208,               0.009208
                     10,                   1.01,                0.47393,                0.95226,                0.94808,                0.91531,                0.94952,                 0.6979,                0.98274,                0.64383,                  1.002,               0.009109,               0.009109,               0.009109
                     11,                0.99929,                0.46873,                0.94904,                0.95379,                  0.911,                0.95175,                0.70015,                 0.9876,                0.64369,                 1.0046,                0.00901,                0.00901,                0.00901
                     12,                0.98219,                0.45946,                0.94536,                0.96121,                0.91583,                  0.951,                0.71142,                0.97337,                0.61214,                 1.0026,               0.008911,               0.008911,               0.008911
